,Title,Channel name,Views,Game
0,Get Jinxed ft Djerv Official Music Video League of Legends,League of Legends,142071155,League of Legends
2,Die For You ft Grabbitz Official Music Video VALORANT Champions 2021,VALORANT,104850976,VALORANT
5,Techno Syndrome Mortal Kombat ,Austin Jons & the Immortals - Topic,45521510,Mortal Kombat
7,Assassin s Creed 2 OST Jesper Kyd Ezio s Family Track 03 ,Ubisoft Music,42229209,Assassin s Creed
13,Doom OST E1M1 At Doom s Gate,Jim DarkMagic,29750711,Doom
19,Cyberpunk 2077 — Chippin’ In by SAMURAI Refused ,Cyberpunk 2077,23461230,Cyberpunk 2077
20,Fire Again ft Ashnikko Official Music Video VALORANT Champions 2022,VALORANT,23138284,VALORANT
21,Super Smash Bros Ultimate Main Theme Lifelight,Super Smash Bros.,22917525,Super Smash Bros Ultimate
24,Doki Doki Literature Club OST Your Reality Credits ,Team Salvato,21168886,Doki Doki Literature Club 
25,Bayonetta Fly Me To The Moon Climax ,Someone,21024180,Bayonetta
31,Original Tetris theme Tetris Soundtrack ,Marcel S,18402746,Tetris
33,Super Mario Odyssey Jump Up Super Star ,MuttonBashers,16979718,Super Mario Odyssey
37,Pokémon Black White Elite Four Battle Music HQ ,Pokeli,15947963,Pokémon Black
38,Grand Theft Auto Vice City Main Theme Extended Mix ,MrGlere,15809884,Grand Theft Auto Vice City
40,Minecraft,C418 - Topic,15670758,Minecraft
48,C418 Aria Math Minecraft Volume Beta ,NycrypticProject,14881803,Minecraft
49,Main Theme Super Smash Bros Brawl,Halo2playa,14853817,Super Smash Bros 
56,Team Fortress 2 Soundtrack Main Theme,OfficialTF2Wiki,12036222,Team Fortress 2
57,Live Learn Main Theme of ”Sonic Adventure 2”,Crush 40 - Topic,11691731,Sonic Adventure 2
59,Pokémon Sun Moon Battle Legend Red Blue Battle Music HQ ,Pokeli,11675222,Pokémon Sun
60,God of War,Bear McCreary - Topic,11437100,God of War
61,Devil May Cry 3 Devils Never Cry With Lyrics ,M3T30R0,11294833,Devil May Cry
62,Pokémon Black White N Final Battle Music HQ ,Pokeli,11113469,Pokémon Black
66,Combichrist Never Surrender [HQ] [Devil May Cry Soundtrack],Stikki,10747784,Devil May Cry
67,At Doom s Gate,Mick Gordon - Topic,10731965,Doom
70,Sonic Mania OST Studiopolis Act 1,Sonic the Hedgehog,10475064,Sonic Mania
71,La Signora Battle Theme [All Phases] Genshin Impact OST,Edwin K row,10427779,Genshin Impact
73,OMORI OST 178 My Time,OMOCAT,10133348,OMORI
75,[Official] Celeste Original Soundtrack 03 Resurrections,Lena Raine,9866801,Celeste
76,Black Ops 2 Soundtrack Main Theme,Marc Tatossian,9803714,Black
78,Undertale,Toby Fox - Topic,9667725,Undertale
80,Bayonetta 2 Battle OST 1 Moon River Climax Mix ,Daedron12,9324116,Bayonetta
82,World of Warcraft Invincible,OmegaX91,8975357,World of Warcraft
86,Destiny 2 Original Soundtrack Track 11 Journey featuring Kronos Quartet ,Bungie,8613079,Destiny 2
